AF3_theta,AF3_alpha,AF3_low_beta,AF3_high_beta,AF3_gamma,T7_theta,T7_alpha,T7_low_beta,T7_high_beta,T7_gamma,Pz_theta,Pz_alpha,Pz_low_beta,Pz_high_beta,Pz_gamma,T8_theta,T8_alpha,T8_low_beta,T8_high_beta,T8_gamma,AF4_theta,AF4_alpha,AF4_low_beta,AF4_high_beta,AF4_gamma,label
1.6719451778106473,1.0237458024563422,0.5980637502634978,0.27224270500266023,0.052498129093473504,1.87227274914275,1.2275193539411697,0.5172624617360264,0.34674478291629396,0.19948968448577936,1.4791122067798095,1.4528168490241886,0.46386666429461015,0.14231323898706386,0.04072885476123821,1.6970169817410603,1.1901973511961845,0.43640607490775485,0.2346822305037057,0.09729270282710496,2.10809744444721,1.0896715944164914,0.5420192620532027,0.2327831533363194,0.050856139809380425,3
2.132166089514209,1.1262488104236805,0.7014913428508016,0.2699964762961486,0.053580565568724585,2.8855840842691003,1.5846761979438833,0.6174523200542463,0.40676893983518125,0.23644508138668732,2.1776048833434,1.764054232709568,0.4792525867865025,0.13639422793071912,0.05105602803596805,2.258209801643363,1.2708866159048071,0.47333684858656544,0.22981157812751776,0.10110054025769868,2.9306150696091344,1.2575262899652995,0.6578552217299999,0.20688882447979717,0.05293042776072104,3
2.052613338023423,1.26490089176124,0.8001723337900428,0.3329078496891583,0.07794476884467921,2.7402084115586613,1.591948881285677,0.5781980775031682,0.41239304113369246,0.28999564877007156,1.757863789882445,2.476128172405072,0.5551195838580608,0.16292880354947495,0.061411224518166996,2.3544284333756464,1.3557847715805738,0.479754729533402,0.25435570645438055,0.10319622612216636,3.332171132984198,1.5894591321155984,0.7238899872525816,0.24395919269934055,0.054856450631831984,3
2.193286489089721,0.9781191868643144,0.525492760255038,0.2865839087405871,0.05938610076533462,2.3894283917776167,1.3169121153199301,0.5806046090628214,0.466233615800557,0.3241221496434295,1.7903313194547328,1.7186875073797316,0.4106990460354435,0.1331861389716011,0.04120969143564993,2.4998415391315523,1.111549033091401,0.44795439080379873,0.3103243849117224,0.12802848080403917,3.6834203267469965,1.1350217985658595,0.45304680378551104,0.21713679116585444,0.049605427991798394,2
0.8551974625661439,0.7884647184002344,0.4704825911520248,0.26724917146113353,0.04845321561520403,0.9908497635504255,1.0505641700233257,0.6296394275380034,0.5047500516671696,0.3341541052581405,0.9096046724551821,1.4881556662367281,0.4398533770712475,0.1352810278870083,0.037657560216566396,0.9346904552800489,0.9159428243850928,0.41718486302634133,0.2972475369556425,0.13891045439968727,1.0777517375650731,0.8058334385275853,0.5028266433197481,0.22246070767507234,0.041004015040999695,1
1.5691400934002535,0.9448185521388104,0.5751532132660655,0.26641089973408494,0.0538086248802762,1.9941333296858559,1.5233072282230191,0.6732599240718561,0.45494889217449824,0.31457315758694826,1.8487353469140422,1.5742157984600562,0.42794644799032283,0.1329068049323645,0.053372530779016214,1.6593486290819353,1.0977220351183758,0.4892519143112082,0.2960389290240486,0.18585011058000256,1.862020656752794,1.0477552828089396,0.5606794852314302,0.23338398681228997,0.05265245826235128,1
1.9198158832937284,1.3173807468383478,0.8182427959529814,0.39447757266840805,0.17352467586506504,3.4951673461514536,1.6238519779804206,0.6671041779140078,0.49887525879463174,0.37488532710735023,1.4307169877652481,2.017263568816292,0.5043346509083368,0.15928080724661986,0.04539261916036476,2.298671789797434,1.5206743169585253,0.509374261847145,0.27471853288169745,0.12766440770476117,2.4506520001789,1.4063195711254832,0.5005378856893742,0.2503490564862867,0.05407484231013336,1
2.5886699500316044,1.666408385767028,0.7133185238422447,0.268619323616992,0.061164657914197264,2.9857867162916576,1.944756837896081,0.599296033482519,0.41803781728239175,0.24219497947763682,2.2130924438835486,3.0332102300529544,0.5208765844706635,0.17489314578819568,0.08653320948795687,2.380821148668439,1.5706009837473827,0.5012009868847122,0.24407163283957428,0.09831821315613988,3.748969924189669,1.7886973060078153,0.7230347574535367,0.2444948411233018,0.06219305790499571,1
3.0335077048002708,1.531234113885229,0.7797922474926982,0.31775247919222066,0.06545362072238371,4.115234562164598,2.06257735647192,0.9681874218539165,0.632830564229509,0.5123508551643401,2.566466896554721,2.1489870205119086,0.5406154176237605,0.17408680739825705,0.06998144673069345,3.176652095007858,1.6765937019834134,0.6376890173715959,0.34083157726275437,0.17572857044863469,5.494497233483948,1.875700199461813,0.7809851985800365,0.25419163083189,0.06822368357524998,3
1.6023944076475907,1.0576436059830476,0.6559471132870088,0.2816749320436006,0.060786126160023324,2.6413698016217473,1.8183804863337345,0.7996066119652058,0.5955109260981625,0.4879371895398868,1.2889414261386065,1.752997288700457,0.47483413656455553,0.1857866713536547,0.09251504793043294,1.7396505177865915,1.3318323173295559,0.5159184119586234,0.31733318846936054,0.15759166630614616,2.253228712777515,1.1950409761002796,0.6425342615530953,0.2534123639145238,0.06122223416892645,3
2.49057282244204,1.3325913473258815,0.6206295403196853,0.31318983431325326,0.06000623769490275,3.7101079573691007,1.4060293654657061,0.6336123424060964,0.47211215161659775,0.26763174015943014,1.5257904253359726,1.7985625635293394,0.3924283719219804,0.13363872360526297,0.04267610812774337,2.744877772900502,1.262560266157679,0.4520650508481689,0.301590929568638,0.13883714240634934,3.2055761465823687,1.3932438017841802,0.47189356668291454,0.21901609342728193,0.04561560457762612,3
1.7812644986404702,1.378348813433527,0.7620886299002735,0.28721335936617975,0.04946561776183095,1.6607888357559626,1.6157134632997303,0.5181815194620578,0.3799560277616067,0.21549660816458258,1.6519534731435728,2.2003549719398006,0.5674814775016578,0.14148527695232202,0.039749278571841275,1.9520241967037317,1.4210138966425412,0.4466976686284906,0.2346885595988337,0.07779311988157028,2.63542955930389,1.633130138845244,0.7548441900878078,0.24902494453199933,0.05736796735183434,3
2.922474672206461,1.6198900786442594,0.817522221334146,0.3685919562611268,0.16094299244325028,4.8791359908357395,2.0230059514353083,0.7978820189434714,0.598867925928396,0.4189401177043717,1.6943241089225982,2.1604155168896737,0.5011361755204324,0.147532481962015,0.05780552697737039,3.3245203118445055,1.8266852317435316,0.5543487577277462,0.2599012272216859,0.1413922313303852,3.203477669297798,1.517705746966878,0.6412741634523237,0.24975238420074763,0.06701263806869465,3
3.250561233781305,1.1926899366481825,0.6435925706269221,0.2999965234855078,0.0763362990717124,2.617437178220378,1.554233724131324,0.6663552442105958,0.46543914482587756,0.3089256052760717,2.8440905663006046,1.845748122815688,0.44121548822467244,0.1350863096718919,0.04365286634615538,2.715173638190428,1.4744447480105818,0.4812550874436725,0.2619585490424637,0.12440920435067507,6.608095694845852,1.346859718082724,0.641523292686059,0.28768271297099,0.08858674523479589,3
1.658037476120145,1.226872062641335,0.6033016916582432,0.24195318396471746,0.055487152123608094,1.7876251009727817,1.7155607053421507,0.6638031475721926,0.422451853425205,0.2956361708438527,1.7869933178222104,2.252926329915639,0.5396563328514679,0.17176471514250413,0.07765962043793478,1.6313209847890924,1.469841133429483,0.52294754738122,0.25269828042530984,0.12988281659257808,2.9271875435106884,1.6286261985140775,0.6581608759983676,0.21914222357097932,0.056248085839253045,2
1.3712805354475417,0.9440829865586724,0.47763077907872764,0.280153583057374,0.05588545138189326,1.859113857202102,1.2745991048637721,0.6035323039778493,0.4610316383077002,0.346073460556496,1.4119416374427587,1.9572153200907052,0.42088362241451505,0.15180945218148023,0.055808737173828844,1.4680872720780371,1.021968682327608,0.3799106814841735,0.25630943006928747,0.12547925268769344,1.8776785975889652,1.0272784053511137,0.5170148100568572,0.24685052461464682,0.0634021324422279,3
1.160885944748937,0.891315136733996,0.49717284095859315,0.27114257014407983,0.052913917355661366,1.4071477136210273,1.1964539599339774,0.550814024093289,0.4043279267412037,0.28542360448764603,1.1846893158695533,2.106371591456769,0.4578368205243829,0.13778065816990417,0.04086049786858721,1.4057701454224687,1.161209457133828,0.393882666124567,0.2459726523301092,0.11480689363377032,1.681807710827983,1.295629889531412,0.4835368132664587,0.2232546493803885,0.05902816457496236,2
1.5350720845175274,0.8786193393144859,0.47248924886401,0.2674748210386698,0.04512703825921846,2.0287875097764756,1.1126819295820565,0.5941854050109152,0.398111665745594,0.25453590921029845,1.2335027857594787,1.284209696233761,0.39010607502725186,0.12665040041336637,0.0371149127398609,1.720081070217751,1.057779293078944,0.4098943754866492,0.28552731966245815,0.11971198140210565,1.9323299571935622,0.9406194551640397,0.43910435555130706,0.20293625356106468,0.04251652863610937,3
2.0675509121046853,1.0267692330348759,0.6444013252367937,0.2914793996399772,0.04984680513242569,3.7607174589872026,1.574348749399325,0.5146604739107411,0.3529532568040497,0.19652599806000012,1.642418932898989,2.0009488172213836,0.5003667521113843,0.15603919870509486,0.05908349831072649,2.628962564108772,1.3121478139989917,0.41346649445869094,0.2095332195259886,0.060758032359092766,2.689815094161626,1.2481303815691822,0.6524838617530921,0.25230257214640367,0.05156076498940197,3
2.0479390814014296,1.154462373263013,0.6426261510737457,0.29400685886148104,0.08654473198875756,3.5841022175320036,1.6945040676245833,0.7157363101132308,0.4831757530331987,0.4566992943385699,1.8860621822887154,1.654975198358012,0.49945031200100704,0.1463583333116835,0.052323285849973554,2.3743172620975606,1.369025710699673,0.4851789332104852,0.30222113194899436,0.21139721161815345,2.1550727752795495,1.3606136375818851,0.5888090304756903,0.2421578895630627,0.06743154160963129,3
2.8203644888977584,1.358752992003203,0.6699595233672072,0.3250928027833913,0.06016588495918566,4.918682934981573,2.141533446250952,0.7748069887152008,0.56172914564672,0.4164864153454454,1.9392386130867922,2.153210032137426,0.4925268299975436,0.16194114711454746,0.05767253691186574,3.4168746108063037,1.7931346732366207,0.511589307176794,0.38169167246682567,0.1880018697911179,3.2459909339701674,1.6926726048246197,0.6994213082363276,0.2560570376994892,0.05896094386878649,3
1.8500272967755282,1.161269294313125,0.6547637342100958,0.28138533893909473,0.05783068471566171,2.8089751522954316,1.3873878713863177,0.6627173085964153,0.4914466019917263,0.3392243713188019,1.5097301104206806,1.9015390248293824,0.5364173072013568,0.1763398780836498,0.0888588539131992,2.101409408892574,1.3196909059382869,0.45154377729713613,0.26424037886124563,0.13511109608496075,2.4102963211544943,1.4085816472689008,0.6482250240964174,0.23452727272530377,0.054381970494767826,1
